friends,followes,readability
37718,36462,4
247459,141328,0
44979,43167,2
0,0,2
0,0,5
0,0,2
0,0,3
0,0,3
0,0,2
0,0,0
0,0,4
0,0,4
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,3
9916,9353,5
46824,46236,0
0,0,4
0,0,4
10248,10271,0
0,0,4
0,0,0
0,0,4
231947,228432,1
0,0,0
0,0,0
0,0,2
127093,128617,0
0,0,2
42042,41347,0
0,0,4
0,0,1
628597,617338,2
0,0,0
0,0,1
0,0,5
0,0,0
0,0,3
62322,60724,0
0,0,4
9916,9353,3
0,0,4
0,0,3
79800,79476,0
28514,26157,0
0,0,4
823844,815195,2
4949,4925,4
0,0,0
26489,26652,3
242009,249571,3
0,0,0
0,0,1
0,0,0
0,0,0
457911,402901,2
0,0,1
0,0,0
0,0,4
0,0,0
0,0,2
0,0,3
0,0,3
0,0,2
330704,318461,3
118605,114819,0
79800,79476,3
21813,22456,0
0,0,0
0,0,1
0,0,2
0,0,0
12055,11750,2
942649,944949,4
0,0,2
231947,228432,1
46824,46236,3
42042,41347,2
0,0,3
0,0,4
0,0,3
111722,106126,1
46824,46236,2
823844,815195,5
537448,523515,6
247459,141328,1
0,0,3
0,0,1
0,0,0
0,0,5
149787,144566,1
9916,9353,1
0,0,3
0,0,0
247459,141328,0
0,0,2
111722,106126,2
0,0,0
0,0,1
0,0,0
0,0,0
0,0,2
127093,128617,2
246043,515530,0
0,0,1
34512,34121,0
4157,4344,3
9916,9353,5
823844,815195,2
0,0,1
0,0,1
0,0,0
0,0,3
0,0,1
127093,128617,0
44979,43167,1
628597,617338,1
0,0,1
0,0,2
10149,9905,2
0,0,6
942649,944949,0
37718,36462,0
0,0,0
0,0,0
0,0,0
127093,128617,1
0,0,1
537448,523515,4
4949,4925,0
0,0,0
31190,31215,1
0,0,2
149787,144566,0
0,0,0
0,0,4
0,0,2
894210,903764,0
0,0,0
