website_type,safety_r,reputation,trustworthiness,child_safety,date
2,2,4.7,94,82,806
2,1,4.2,84,0,801
2,1,2.4,48,3,793
2,1,0,0,0,792
2,1,0,0,0,818
2,1,0,0,0,812
2,1,2.5,50,11,811
2,1,0,0,0,811
2,2,3.1,63,68,818
2,1,4,80,93,811
2,2,4.7,94,82,818
2,2,3.1,63,68,818
2,0,1.2,24,28,812
2,1,0,0,0,790
2,2,3.9,78,79,812
2,2,3.1,63,68,819
2,1,2.5,50,29,798
2,1,2.1,42,58,817
2,2,3.1,63,68,819
2,1,0,0,0,813
8,2,4.6,92,92,803
8,2,4.6,92,92,809
2,1,4,80,93,793
2,1,0,0,0,817
2,2,4,81,76,818
2,1,2.1,42,58,819
2,1,4.3,87,0,798
7,2,4.7,93,89,819
2,1,4,80,93,793
4,1,0,0,0,809
2,1,3.1,63,77,817
2,1,0,0,0,799
2,1,0,0,0,805
2,2,3.1,63,68,818
8,2,4.6,92,92,810
1,1,3,60,54,810
2,1,4,80,93,808
2,2,3.1,63,68,818
2,1,3.6,72,93,813
1,1,3,60,54,805
2,1,3.1,63,77,818
8,2,4.6,92,92,820
2,2,4.7,94,82,815
2,1,0,0,0,805
2,2,3.5,69,70,818
2,1,3.3,65,84,816
2,2,4.7,94,82,805
2,2,3.9,77,99,820
2,2,4.3,85,86,801
2,2,4.7,93,90,804
2,1,4.2,84,0,804
7,2,4.7,93,89,804
2,1,0,0,0,804
1,2,3.6,72,85,793
2,2,3.1,63,68,818
2,2,4.5,89,87,819
2,2,3.1,63,68,819
2,1,2.5,50,0,796
2,1,0,0,0,814
2,2,3.1,63,68,819
2,1,3.4,68,79,792
2,1,0,0,0,807
2,1,0,0,0,809
4,1,0,0,0,807
5,1,2.3,45,24,795
8,2,4.6,92,92,802
2,2,3.1,63,68,818
2,1,3.1,63,77,817
2,1,3.3,66,61,820
2,2,4.3,87,87,819
2,1,4.3,86,100,803
2,1,0,0,0,805
2,1,2.5,50,0,819
2,2,3.5,69,70,799
2,1,0,0,0,807
2,2,4.7,94,94,820
2,1,0,0,0,818
2,1,3.1,63,77,818
2,2,4.2,83,80,819
1,2,3.6,72,85,793
2,1,0,0,0,805
2,1,0,0,0,813
2,2,3.1,63,68,818
1,2,3.6,72,85,799
2,1,2.5,50,46,819
2,2,3.5,69,70,809
2,1,4.3,87,0,819
2,1,0,0,0,817
2,2,4.5,89,87,809
2,1,2.5,50,11,815
2,1,4.3,87,0,801
2,1,3.3,66,61,818
2,1,0,0,0,814
2,2,4.7,94,82,819
2,1,2.8,56,56,820
2,1,4,80,93,812
1,2,3.6,72,85,805
2,1,4.2,84,0,810
2,1,4.5,90,97,817
2,2,3.5,69,70,820
2,1,0,0,0,809
2,1,4,80,93,805
2,1,2.5,50,11,812
2,1,4,80,93,806
2,2,4.5,89,87,805
2,1,3,60,62,815
2,2,3.1,63,68,819
2,2,3.1,63,68,819
2,1,0,0,0,798
2,1,0,0,0,804
2,1,4,80,93,805
2,1,0,0,0,809
2,1,2.8,56,56,817
2,1,0,0,0,819
2,1,4.6,92,90,814
2,1,3.2,64,98,800
2,1,0,0,0,809
2,1,4,80,93,806
2,1,2.5,50,0,800
2,2,3.1,63,68,819
1,2,3.6,72,85,798
2,2,4.3,86,89,816
2,1,3.1,63,77,817
2,2,3.9,77,99,820
2,1,4.3,87,0,812
1,2,3.6,72,85,814
2,2,3.1,63,68,818
2,2,3.5,69,70,802
2,1,0,0,0,819
2,1,0,0,0,806
2,2,4.7,94,82,806
2,0,1.2,24,28,807
2,1,2.5,50,28,810
2,2,3.5,69,70,810
2,1,2.5,50,11,815
2,2,4.7,94,94,814
1,2,3.6,72,85,794
2,2,3.5,69,70,811
1,2,3.6,72,85,798
2,2,3.5,69,70,802
2,2,3.5,69,70,793
1,1,3,60,54,793
2,2,4,81,85,818
2,2,4.7,94,82,811
2,2,4.7,94,94,811
2,2,4.3,86,89,811
2,2,4.7,94,82,814
2,1,3.1,63,77,798
2,2,3.5,69,70,802
2,2,3.5,69,70,801
2,1,2.9,57,71,816
2,1,0,0,0,801
1,1,3,60,54,805
2,2,4.7,94,82,813
2,2,4.7,94,82,812
2,1,4.6,92,90,811
2,2,3.5,69,70,804
2,1,0,0,0,800
2,1,2.4,48,3,819
2,2,3.1,63,68,818
2,1,2.6,52,57,815
2,1,0,0,0,810
2,2,3.1,63,68,818
2,2,4.7,94,94,810
3,1,3.9,78,82,802
2,2,3.5,69,70,811
3,1,3.9,78,82,814
3,1,3.9,78,82,804
2,2,4,81,76,819
2,1,4,80,93,815
2,1,0,0,0,792
1,2,3.6,72,85,804
3,1,3.9,78,82,790
2,1,0,0,0,803
1,2,3.6,72,85,803
8,2,4.6,92,92,806
2,2,3.3,65,70,819
2,2,4,81,85,818
2,2,3.5,69,70,796
3,1,2.5,50,52,810
2,2,4.7,94,94,816
2,1,2.1,42,58,804
2,1,3.3,66,61,820
2,2,4.5,89,87,812
2,2,4.7,94,82,812
2,1,0,0,0,793
2,2,4.7,94,82,812
2,1,4,80,93,794
2,2,3.1,63,68,819
2,2,4.7,94,82,812
2,1,2.5,50,11,818
2,2,4.5,89,87,811
2,2,3.1,63,68,819
2,2,4.5,89,87,801
2,2,3.1,63,68,818
2,1,4,80,93,806
2,2,3.5,69,70,804
2,1,0,0,0,811
2,2,3.5,69,70,795
2,1,0,0,0,791
2,1,0,0,0,809
1,2,3.6,72,85,807
2,1,0,0,0,812
2,1,2.5,50,33,818
2,2,3.5,69,70,791
2,2,3.5,69,70,801
2,2,4.7,94,82,812
2,2,3.1,63,68,819
2,1,4.3,87,0,814
2,2,4.7,94,94,816
2,2,4.7,94,82,805
2,2,3.1,63,68,818
2,1,3.1,63,77,814
2,2,3.5,69,70,816
2,1,2.8,56,56,812
2,1,0,0,0,811
2,1,4.3,87,0,803
2,2,4.7,94,82,807
1,2,3.6,72,85,805
8,2,4.6,92,92,803
3,1,3.9,78,82,811
2,2,4.7,94,82,813
2,2,4.7,94,82,807
2,1,0,0,0,814
2,1,0,0,0,808
2,2,4.7,94,82,814
1,2,4.5,90,90,808
2,2,4.7,94,82,813
2,1,4.3,87,0,798
2,2,3.1,63,68,819
2,2,3.5,69,70,800
2,1,0,0,0,813
