friends,followes,date
569990,975522,807
0,0,815
353664,342787,793
569990,975522,806
0,0,811
0,0,820
569990,975522,813
127093,128617,814
0,0,798
596749,561904,819
569990,975522,806
0,0,806
0,0,811
0,0,804
569990,975522,805
0,0,820
0,0,818
569990,975522,806
894063,903261,792
10252,10661,816
0,0,804
714,782,820
569990,975522,806
0,0,809
353664,342787,806
569990,975522,815
596749,561904,819
0,0,796
569990,975522,808
127093,128617,818
596749,561904,819
569990,975522,805
0,0,810
34089,34114,802
0,0,808
4155,4342,804
0,0,810
0,0,803
0,0,819
0,0,808
569990,975522,815
0,0,810
0,0,820
569990,975522,812
353664,342787,793
0,0,820
0,0,815
0,0,820
0,0,819
34089,34114,809
353664,342787,797
0,0,815
0,0,812
0,0,815
569990,975522,814
17913,17979,791
358261,150020,819
0,0,794
0,0,799
0,0,807
0,0,806
0,0,808
569990,975522,806
894063,903261,818
0,0,805
0,0,804
616717,596782,813
0,0,812
569990,975522,808
0,0,806
0,0,811
0,0,815
127093,128617,818
0,0,815
0,0,811
0,0,819
0,0,819
0,0,806
0,0,820
0,0,820
0,0,811
0,0,801
0,0,805
0,0,819
31190,31215,817
0,0,819
0,0,799
0,0,806
247459,141328,817
0,0,818
127093,128617,815
0,0,816
942649,944949,818
416462,418512,808
0,0,819
127093,128617,814
31593,30850,792
0,0,817
0,0,807
0,0,811
118605,114819,814
0,0,819
0,0,816
0,0,819
628597,617338,820
0,0,813
44979,43167,819
0,0,819
0,0,803
0,0,815
0,0,817
0,0,819
0,0,797
0,0,816
77740,76520,817
846903,806206,815
0,0,819
422730,424756,819
0,0,810
0,0,809
358257,150016,816
0,0,814
0,0,807
894210,903764,813
0,0,808
4157,4344,809
628597,617338,801
0,0,804
0,0,816
189418,186681,813
846903,806206,815
0,0,800
79800,79476,805
0,0,804
0,0,819
0,0,819
0,0,816
0,0,819
0,0,819
0,0,793
242009,249571,818
231947,228432,811
247038,239927,811
616920,597053,810
28514,26157,814
0,0,800
77740,76520,818
0,0,792
0,0,804
0,0,820
0,0,814
0,0,792
0,0,818
0,0,805
0,0,798
457911,402901,818
0,0,814
0,0,819
37718,36462,814
0,0,806
1402,1375,808
0,0,804
242009,249571,816
0,0,819
0,0,820
118605,114819,818
0,0,817
0,0,818
118605,114819,816
0,0,807
0,0,818
614338,622508,806
0,0,812
0,0,819
0,0,816
0,0,814
0,0,811
0,0,820
0,0,819
358257,150016,812
0,0,815
44979,43167,812
0,0,819
0,0,805
942649,944949,820
628597,617338,812
0,0,819
0,0,813
330704,318461,820
0,0,819
0,0,819
846903,806206,812
537448,523515,816
0,0,817
942649,944949,819
79800,79476,805
0,0,818
0,0,795
0,0,804
0,0,809
111722,106126,817
0,0,799
0,0,802
247038,239927,812
44979,43167,812
242009,249571,819
0,0,807
0,0,811
0,0,820
628597,617338,814
0,0,811
894210,903764,793
12055,11750,811
12055,11750,819
0,0,813
10255,10664,791
4949,4925,818
0,0,819
0,0,817
1402,1375,807
31190,31215,817
0,0,817
0,0,814
31593,30850,798
0,0,805
0,0,811
0,0,811
823844,815195,812
26489,26652,813
0,0,815
0,0,820
942649,944949,818
0,0,818
616920,597053,813
0,0,814
0,0,817
846903,806206,809
894210,903764,813
37718,36462,814
0,0,810
0,0,819
0,0,815
0,0,800
231947,228432,805
0,0,794
0,0,818
0,0,816
77740,76520,818
0,0,798
0,0,809
0,0,797
0,0,818
0,0,805
0,0,814
0,0,802
